priority,prospect,segment,offer_to_test,wave,status,owner,contact_url_or_source,contact_name,contact_email,last_touch,next_touch,notes
17,Ackermann Group,Apartment/property management,"Apartment Spotlight; Area Sponsor",2,ready_to_verify,CREN sales,https://www.apartments.com/pmc/columbus-oh/,,,,,"Development and apartment angle."
18,Lifestyle Communities,Apartment/community operator,"Apartment Spotlight; Event Sponsor",1,ready_to_verify,CREN sales,docs/FIRST_ADVERTISER_TARGET_LIST_2026-08-29.md,,,,,"Local living/community fit."
19,Campus Apartments,Student housing,OSU Move-In Services Pilot,2,ready_to_verify,CREN sales,docs/FIRST_ADVERTISER_TARGET_LIST_2026-08-29.md,,,,,"Seasonal student-housing angle."
20,Cardinal Group Management,Student/multifamily management,"OSU Area Sponsor; Apartment Spotlight",2,ready_to_verify,CREN sales,docs/FIRST_ADVERTISER_TARGET_LIST_2026-08-29.md,,,,,"Student and multifamily fit."
21,The NRP Group,Developer/apartment operator,"Development Spotlight; Apartment Spotlight",2,ready_to_verify,CREN sales,docs/FIRST_ADVERTISER_TARGET_LIST_2026-08-29.md,,,,,"Project-specific personalization needed."
22,Pizzuti,Developer,"Development Spotlight; Market Report Sponsor",1,ready_to_verify,CREN sales,https://pizzuti.squarespace.com/,,,,,"Columbus development audience fit."
23,Nationwide Realty Investors,Developer/mixed-use,"Development Tracker Sponsor; Event Sponsor",1,ready_to_verify,CREN sales,docs/FIRST_ADVERTISER_TARGET_LIST_2026-08-29.md,,,,,"Major local development prospect."
24,Wagenbrenner/Thrive-related projects,Developer,Development Tracker Sponsor,2,ready_to_verify,CREN sales,docs/FIRST_ADVERTISER_TARGET_LIST_2026-08-29.md,,,,,"Clarify entity/contact before outreach."
25,M/I Homes,Homebuilder,"New-Home Guide Sponsor; Buyer Newsletter",1,ready_to_verify,CREN sales,https://www.mihomes.com/,,,,,"Buyer guide fit."
26,Fischer Homes,Homebuilder,"Buyer Guide Sponsor; Area Sponsor",1,ready_to_verify,CREN sales,https://www.fischerhomes.com/find-new-homes/columbus/ohio/communities/,,,,,"Columbus communities angle."
27,Rockford Homes,Homebuilder,"Buyer Guide Sponsor; Development Spotlight",2,ready_to_verify,CREN sales,https://rockfordhomes.com/,,,,,"Upcoming communities angle."
28,Pulte Homes,Homebuilder,Buyer Guide Sponsor,2,ready_to_verify,CREN sales,docs/FIRST_ADVERTISER_TARGET_LIST_2026-08-29.md,,,,,"Verify regional marketing contact."
29,Ryan Homes,Homebuilder,Buyer Guide Sponsor,2,ready_to_verify,CREN sales,docs/FIRST_ADVERTISER_TARGET_LIST_2026-08-29.md,,,,,"Production-builder prospect."
30,D.R. Horton,Homebuilder,Buyer Guide Sponsor,2,ready_to_verify,CREN sales,docs/FIRST_ADVERTISER_TARGET_LIST_2026-08-29.md,,,,,"Production-builder prospect."
31,Schottenstein Homes,Homebuilder,Buyer Guide Sponsor,2,ready_to_verify,CREN sales,docs/FIRST_ADVERTISER_TARGET_LIST_2026-08-29.md,,,,,"Central Ohio builder prospect."
32,Epcon Communities,Homebuilder,Downsizer/Condo Guide Sponsor,2,ready_to_verify,CREN sales,docs/FIRST_ADVERTISER_TARGET_LIST_2026-08-29.md,,,,,"Downsizer/low-maintenance angle."
33,3 Pillar Homes,Builder,Premium Buyer Guide Sponsor,3,ready_to_verify,CREN sales,https://explorecentralohio.com/builders-and-vendors/,,,,,"Semi-custom builder angle."
34,Trinity Homes,Builder,Buyer Guide Sponsor,3,ready_to_verify,CREN sales,https://explorecentralohio.com/builders-and-vendors/,,,,,"Regional builder prospect."
35,Leaders Moving & Storage,Moving/storage,"OSU Move-In Services Pilot; Weekend Planner Insert",1,ready_to_verify,CREN sales,https://www.leadersmoving.com/,,,,,"Renter/buyer/student move angle."
36,College HUNKS Hauling Junk & Moving Columbus,Moving/junk removal,"Moving Guide Sponsor; Directory Profile",2,ready_to_verify,CREN sales,https://www.collegehunkshaulingjunk.com/locations/moving/ohio/columbus/,,,,,"Moving and junk-removal guide fit."
37,Hercules Movers,Moving/storage,"Moving Guide Sponsor; Directory Profile",2,ready_to_verify,CREN sales,https://herculesmoversoh.com/,,,,,"Student and apartment move angle."
38,CAI Home Inspection,Home inspection,"Find-a-Pro Listing; Buyer Due Diligence Sponsor",2,ready_to_verify,CREN sales,https://www.expertise.com/home-improvement/home-inspection/ohio/columbus,,,,,"Verify credentials and claims."
39,ProCheck Engineering,Inspection/engineering,"Inspection Guide Sponsor; Directory Profile",2,ready_to_verify,CREN sales,https://www.expertise.com/home-improvement/home-inspection/ohio/columbus,,,,,"Credential-proof workflow fit."
40,M.A. Home Inspections,Home inspection,Buyer Checklist Sponsor,2,ready_to_verify,CREN sales,https://www.expertise.com/home-improvement/home-inspection/ohio/columbus,,,,,"Due-diligence checklist fit."
41,Inspect My Home Property Inspections,Home inspection,Buyer Checklist Sponsor,3,ready_to_verify,CREN sales,https://www.expertise.com/home-improvement/home-inspection/ohio/columbus,,,,,"Verify local contact."
42,Cap City Property Inspections,Home inspection,Buyer Checklist Sponsor,3,ready_to_verify,CREN sales,https://www.expertise.com/home-improvement/home-inspection/ohio/columbus,,,,,"Columbus/Hilliard fit."
43,Habitation Investigation,Home inspection,Buyer Checklist Sponsor,3,ready_to_verify,CREN sales,https://www.expertise.com/home-improvement/home-inspection/ohio/columbus,,,,,"Review-footprint angle needs verification."
44,Clear View Inspection Group,Home inspection,Buyer Checklist Sponsor,3,ready_to_verify,CREN sales,https://www.expertise.com/home-improvement/home-inspection/ohio/columbus,,,,,"Termite/radon/septic angle needs verification."
45,NFM Lending Columbus,Mortgage lending,"Sponsored Buyer Guide; Market Pulse Sponsor",2,ready_to_verify,CREN sales,https://nfmlending.com/branch/oh342-columbus-oh/,,,,,"Compliance review needed."
46,Service Title Agency,Title/closing,Buyer/Seller Guide Sponsor,3,ready_to_verify,CREN sales,https://www.bbb.org/us/oh/columbus/category/title-companies,,,,,"Verify contact and claims."
47,PM Title,Title/closing,Buyer/Seller Guide Sponsor,3,ready_to_verify,CREN sales,https://www.bbb.org/us/oh/columbus/category/title-companies,,,,,"Verify contact and claims."
48,Empora Title,Title/escrow,Buyer/Seller Guide Sponsor,3,ready_to_verify,CREN sales,https://www.bbb.org/us/oh/columbus/category/title-companies,,,,,"Verify Columbus presence/contact."
49,Superior Title and Escrow,Title/escrow,Buyer/Seller Guide Sponsor,3,ready_to_verify,CREN sales,https://www.superiortitleohio.com/,,,,,"Closing-cost guide angle."
50,Columbus Realty Title,Title/settlement,Buyer/Seller Guide Sponsor,3,ready_to_verify,CREN sales,https://www.columbusrealtytitle.com/,,,,,"Local title/settlement fit."
